,Validation_Set,Topics,Alpha,Beta,Coherence
0,100% Corpus,2,0.01,0.01,0.3218174536248691
1,100% Corpus,2,0.01,0.31,0.3981019081444644
2,100% Corpus,2,0.01,0.61,0.35178609063671024
3,100% Corpus,2,0.01,0.9099999999999999,0.46612074507357093
4,100% Corpus,2,0.01,symmetric,0.29559564861388343
5,100% Corpus,2,0.31,0.01,0.3131177276832687
6,100% Corpus,2,0.31,0.31,0.40217137731974406
7,100% Corpus,2,0.31,0.61,0.47637650042855084
8,100% Corpus,2,0.31,0.9099999999999999,0.48040266023993167
9,100% Corpus,2,0.31,symmetric,0.3834495564266667
10,100% Corpus,2,0.61,0.01,0.3476292258800226
11,100% Corpus,2,0.61,0.31,0.36640880253052943
12,100% Corpus,2,0.61,0.61,0.36622813786814773
13,100% Corpus,2,0.61,0.9099999999999999,0.4338888702815876
14,100% Corpus,2,0.61,symmetric,0.3563791706164014
15,100% Corpus,2,0.9099999999999999,0.01,0.3568858715904929
16,100% Corpus,2,0.9099999999999999,0.31,0.34418760632330536
17,100% Corpus,2,0.9099999999999999,0.61,0.39328007619641014
18,100% Corpus,2,0.9099999999999999,0.9099999999999999,0.41094539026687144
19,100% Corpus,2,0.9099999999999999,symmetric,0.3492358245369798
20,100% Corpus,2,symmetric,0.01,0.3282216065458725
21,100% Corpus,2,symmetric,0.31,0.46754639266380904
22,100% Corpus,2,symmetric,0.61,0.37930933374347364
23,100% Corpus,2,symmetric,0.9099999999999999,0.4000518572179951
24,100% Corpus,2,symmetric,symmetric,0.3555238169084461
25,100% Corpus,2,asymmetric,0.01,0.3528642145390183
26,100% Corpus,2,asymmetric,0.31,0.49926727369897417
27,100% Corpus,2,asymmetric,0.61,0.46251740174960465
28,100% Corpus,2,asymmetric,0.9099999999999999,0.577750248950488
29,100% Corpus,2,asymmetric,symmetric,0.3556681462764339
30,100% Corpus,3,0.01,0.01,0.3218174536248691
31,100% Corpus,3,0.01,0.31,0.3981019081444644
32,100% Corpus,3,0.01,0.61,0.35178609063671024
33,100% Corpus,3,0.01,0.9099999999999999,0.46612074507357093
34,100% Corpus,3,0.01,symmetric,0.29559564861388343
35,100% Corpus,3,0.31,0.01,0.3131177276832687
36,100% Corpus,3,0.31,0.31,0.40217137731974406
37,100% Corpus,3,0.31,0.61,0.47637650042855084
38,100% Corpus,3,0.31,0.9099999999999999,0.48040266023993167
39,100% Corpus,3,0.31,symmetric,0.3834495564266667
40,100% Corpus,3,0.61,0.01,0.3476292258800226
41,100% Corpus,3,0.61,0.31,0.36640880253052943
42,100% Corpus,3,0.61,0.61,0.36622813786814773
43,100% Corpus,3,0.61,0.9099999999999999,0.4338888702815876
44,100% Corpus,3,0.61,symmetric,0.3563791706164014
45,100% Corpus,3,0.9099999999999999,0.01,0.3568858715904929
46,100% Corpus,3,0.9099999999999999,0.31,0.34418760632330536
47,100% Corpus,3,0.9099999999999999,0.61,0.39328007619641014
48,100% Corpus,3,0.9099999999999999,0.9099999999999999,0.41094539026687144
49,100% Corpus,3,0.9099999999999999,symmetric,0.3492358245369798
50,100% Corpus,3,symmetric,0.01,0.3282216065458725
51,100% Corpus,3,symmetric,0.31,0.46754639266380904
52,100% Corpus,3,symmetric,0.61,0.37930933374347364
53,100% Corpus,3,symmetric,0.9099999999999999,0.4000518572179951
54,100% Corpus,3,symmetric,symmetric,0.3555238169084461
55,100% Corpus,3,asymmetric,0.01,0.3528642145390183
56,100% Corpus,3,asymmetric,0.31,0.49926727369897417
57,100% Corpus,3,asymmetric,0.61,0.46251740174960465
58,100% Corpus,3,asymmetric,0.9099999999999999,0.577750248950488
59,100% Corpus,3,asymmetric,symmetric,0.3556681462764339
60,100% Corpus,4,0.01,0.01,0.3218174536248691
61,100% Corpus,4,0.01,0.31,0.3981019081444644
62,100% Corpus,4,0.01,0.61,0.35178609063671024
63,100% Corpus,4,0.01,0.9099999999999999,0.46612074507357093
64,100% Corpus,4,0.01,symmetric,0.29559564861388343
65,100% Corpus,4,0.31,0.01,0.3131177276832687
66,100% Corpus,4,0.31,0.31,0.40217137731974406
67,100% Corpus,4,0.31,0.61,0.47637650042855084
68,100% Corpus,4,0.31,0.9099999999999999,0.48040266023993167
69,100% Corpus,4,0.31,symmetric,0.3834495564266667
70,100% Corpus,4,0.61,0.01,0.3476292258800226
71,100% Corpus,4,0.61,0.31,0.36640880253052943
72,100% Corpus,4,0.61,0.61,0.36622813786814773
73,100% Corpus,4,0.61,0.9099999999999999,0.4338888702815876
74,100% Corpus,4,0.61,symmetric,0.3563791706164014
75,100% Corpus,4,0.9099999999999999,0.01,0.3568858715904929
76,100% Corpus,4,0.9099999999999999,0.31,0.34418760632330536
77,100% Corpus,4,0.9099999999999999,0.61,0.39328007619641014
78,100% Corpus,4,0.9099999999999999,0.9099999999999999,0.41094539026687144
79,100% Corpus,4,0.9099999999999999,symmetric,0.3492358245369798
80,100% Corpus,4,symmetric,0.01,0.3282216065458725
81,100% Corpus,4,symmetric,0.31,0.46754639266380904
82,100% Corpus,4,symmetric,0.61,0.37930933374347364
83,100% Corpus,4,symmetric,0.9099999999999999,0.4000518572179951
84,100% Corpus,4,symmetric,symmetric,0.3555238169084461
85,100% Corpus,4,asymmetric,0.01,0.3528642145390183
86,100% Corpus,4,asymmetric,0.31,0.49926727369897417
87,100% Corpus,4,asymmetric,0.61,0.46251740174960465
88,100% Corpus,4,asymmetric,0.9099999999999999,0.577750248950488
89,100% Corpus,4,asymmetric,symmetric,0.3556681462764339
